in,rank,accesses,reads,writes
246324,538,133,133,0
246325,539,133,133,0
246319,540,133,133,0
246320,541,133,133,0
246374,542,133,133,0
246793,543,133,133,0
246794,544,133,133,0
246795,545,133,133,0
246796,546,133,133,0
246797,547,133,133,0
246798,548,133,133,0
246799,549,133,133,0
246800,550,133,133,0
246801,551,133,133,0
246802,552,133,133,0
246803,553,133,133,0
246804,554,133,133,0
246805,555,133,133,0
246806,556,133,133,0
246807,557,133,133,0
246809,558,133,133,0
246810,559,133,133,0
246811,560,133,133,0
246812,561,133,133,0
246813,562,133,133,0
246814,563,133,133,0
246815,564,133,133,0
246816,565,133,133,0
246817,566,133,133,0
246818,567,133,133,0
246819,568,133,133,0
246820,569,133,133,0
246821,570,133,133,0
246822,571,133,133,0
246823,572,133,133,0
246824,573,133,133,0
246786,574,133,133,0
246825,575,133,133,0
246826,576,133,133,0
246827,577,133,133,0
246828,578,133,133,0
246829,579,133,133,0
246830,580,133,133,0
247147,581,133,133,0
247148,582,133,133,0
247149,583,133,133,0
247150,584,133,133,0
247151,585,133,133,0
247152,586,133,133,0
246831,587,133,133,0
246832,588,133,133,0
246833,589,133,133,0
246834,590,133,133,0
246835,591,133,133,0
246836,592,133,133,0
246837,593,133,133,0
246838,594,133,133,0
246839,595,133,133,0
246840,596,133,133,0
246841,597,133,133,0
246842,598,133,133,0
246843,599,133,133,0
246844,600,133,133,0
246845,601,133,133,0
246846,602,133,133,0
247331,603,132,132,0
131946,604,132,132,0
220430,605,132,126,6
33992,606,131,131,0
197786,607,131,131,0
215268,608,130,85,45
247137,609,130,130,0
247138,610,130,130,0
247139,611,130,130,0
247140,612,130,130,0
247142,613,130,130,0
247143,614,130,130,0
247144,615,130,130,0
247145,616,130,130,0
247134,617,130,130,0
40100,618,130,130,0
131947,619,130,130,0
247938,620,129,51,78
215299,621,128,88,40
301214,622,128,128,0
215314,623,127,113,14
249781,624,127,112,15
152738,625,127,14,113
215276,626,126,104,22
215297,627,125,65,60
215290,628,124,90,34
152848,629,124,14,110
218974,630,123,123,0
218975,631,123,123,0
218936,632,123,123,0
218937,633,123,123,0
218938,634,123,123,0
218939,635,123,123,0
247936,636,123,93,30
74347,637,123,123,0
218228,638,123,123,0
210327,639,122,122,0
210404,640,122,122,0
210427,641,122,122,0
7,642,121,121,0
205244,643,121,121,0
218280,644,118,118,0
247937,645,118,56,62
152298,646,116,112,4
40166,647,115,115,0
40167,648,115,115,0
40168,649,115,115,0
40169,650,115,115,0
40170,651,115,115,0
40171,652,115,115,0
235146,653,115,95,20
200204,654,114,114,0
218278,655,114,114,0
247945,656,113,37,76
249786,657,112,101,11
153079,658,112,37,75
211577,659,112,112,0
131445,660,111,13,98
198910,661,111,111,0
261862,662,110,109,1
210354,663,110,110,0
210329,664,110,110,0
210330,665,110,110,0
210346,666,110,110,0
210348,667,110,110,0
210356,668,110,110,0
210367,669,110,110,0
210369,670,110,110,0
210375,671,110,110,0
210377,672,110,110,0
210379,673,110,110,0
210380,674,110,110,0
210381,675,110,110,0
210382,676,110,110,0
210385,677,110,110,0
210388,678,110,110,0
210392,679,110,110,0
210394,680,110,110,0
210395,681,110,110,0
210396,682,110,110,0
210398,683,110,110,0
210419,684,110,110,0
210425,685,110,110,0
